origin_country,total_flights,avg_velocity,on_ground
Algeria,8,155.27875,0
Angola,1,73.5,0
Argentina,25,163.1028,2
Armenia,1,158.96,0
Australia,57,126.03649122807018,21
Austria,138,174.42746376811596,12
Bahrain,3,234.03333333333333,0
Bangladesh,7,186.1057142857143,1
Belgium,37,159.6783783783784,8
Belize,1,93.71,0
Brazil,147,157.88006802721088,4
Brunei Darussalam,1,245.35,0
Bulgaria,12,221.61666666666667,0
Burkina Faso,1,152.58,0
Canada,468,144.75944444444445,91
Chile,32,168.5534375,5
China,114,198.70456140350876,10
Colombia,15,106.47466666666666,2
Croatia,6,225.69833333333335,0
Cyprus,2,158.055,0
Czech Republic,23,148.39347826086959,0
Denmark,27,168.36444444444444,3
Dominican Republic,5,217.35399999999998,0
Egypt,14,236.965,0
Estonia,9,160.86333333333334,1
Ethiopia,7,154.41285714285712,1
Fiji,1,233.17,0
Finland,40,166.51600000000002,4
France,188,161.48968085106384,19
Georgia,4,115.5925,2
Germany,98,162.29295918367347,12
Greece,35,134.25085714285714,7
Guatemala,9,52.40777777777778,2
Honduras,1,57.17,0
Hungary,52,183.62942307692308,6
Iceland,4,198.3525,0
India,56,164.49571428571429,9
Indonesia,11,208.08999999999997,0
Ireland,289,187.63359861591695,18
Israel,14,227.28571428571428,0
Italy,23,139.09695652173914,1
Japan,46,214.53782608695653,4
Jordan,7,237.60999999999999,0
Kazakhstan,4,233.94750000000002,0
Kenya,5,231.72199999999998,0
Kingdom of the Netherlands,117,179.40478632478633,14
Kuwait,2,226.725,0
Kyrgyzstan,1,231.55,0
Latvia,33,172.3009090909091,3
Libyan Arab Jamahiriya,3,224.1966666666667,0
Lithuania,8,186.6525,0
Luxembourg,21,183.28619047619048,2
Malaysia,29,220.46172413793104,1
Malta,169,190.0932544378698,10
Mexico,114,153.0325438596491,9
Morocco,25,213.3904,0
Myanmar,1,191.72,0
New Zealand,68,116.34132352941177,3
Norway,42,115.39238095238095,10
Oman,4,251.9525,0
Pakistan,3,250.16333333333333,0
Panama,23,176.31826086956522,2
Peru,1,248.51,0
Philippines,15,186.93666666666667,1
Poland,110,187.2068181818182,5
Portugal,52,177.29461538461538,4
Qatar,22,206.93545454545455,3
Republic of Korea,82,225.0570731707317,2
Republic of Moldova,3,210.14666666666668,0
Romania,10,152.776,1
Russian Federation,35,138.184,0
San Marino,1,235.85,0
Saudi Arabia,11,207.16636363636363,0
Serbia,8,175.79375,0
Singapore,30,216.714,1
Slovakia,1,208.86,0
Slovenia,1,236.47,0
South Africa,6,138.57833333333335,0
Spain,169,184.7710650887574,9
Sri Lanka,4,228.445,0
Suriname,1,246.1,0
Sweden,57,180.53333333333333,8
Switzerland,76,141.4309210526316,20
Taiwan,21,208.88380952380953,0
Thailand,34,248.4373529411765,1
Trinidad and Tobago,2,227.875,0
Tunisia,8,204.37875,1
Turkey,221,215.0525791855204,3
Ukraine,2,146.875,0
United Arab Emirates,65,212.83015384615382,4
United Kingdom,344,177.3521511627907,33
United States,7550,129.30244070491585,596
Uzbekistan,8,224.0775,0
Viet Nam,23,266.5134782608696,0
